Investment_ID,Investor_Name,Investment_Type,Investment_Amount,Investment_Date,Maturity_Date,Risk_Category,Return_Rate,Broker,Status
100050,Fay,Real Estate,60458.41,2020-07-08,2028-05-06,High,8.52,BrokerB,Closed
100051,Bob,Mutual Funds,95461.07,2022-02-17,2025-06-23,High,4.07,BrokerA,Active
100052,Bob,Crypto,9030.12,2020-07-17,2029-12-15,High,7.74,BrokerB,Pending
100053,Alice,Bonds,30205.98,2022-01-05,2025-04-18,Low,13.69,BrokerD,Pending
100054,Bob,Crypto,62147.62,2024-10-01,2025-11-15,Low,2.19,BrokerB,Pending
100055,Eve,Stocks,33173.19,2021-12-05,2025-11-19,High,13.16,BrokerB,Pending
100056,Bob,Mutual Funds,72870.3,2023-05-21,2029-03-26,High,6.1,BrokerC,Active
100057,David,Bonds,77105.5,2021-06-25,2028-06-19,High,13.64,BrokerA,Pending
100058,David,Real Estate,14739.02,2024-07-10,2025-04-12,Low,14.2,BrokerB,Closed
100059,David,Bonds,53816.17,2020-03-29,2028-10-12,High,10.56,BrokerB,Pending
100060,David,Real Estate,53344.6,2024-02-03,2025-06-17,High,10.47,BrokerD,Closed
100061,Eve,Bonds,40081.67,2022-07-29,2026-07-12,Medium,7.61,BrokerD,Closed
100062,Charlie,Crypto,93627.86,2023-01-03,2027-06-27,Medium,12.78,BrokerB,Pending
100063,Fay,Crypto,83613.1,2020-09-12,2028-09-17,Low,14.48,BrokerA,Pending
100064,Alice,Crypto,71234.89,2022-02-14,2027-05-19,Medium,11.96,BrokerB,Active
100065,David,Stocks,72861.03,2020-06-10,2027-09-22,Medium,9.9,BrokerB,Closed
100066,Bob,Real Estate,48863.03,2023-02-04,2028-05-28,Medium,9.69,BrokerC,Pending
100067,David,Crypto,92494.48,2021-08-23,2027-06-25,Low,12.97,BrokerA,Active
100068,Bob,Stocks,70986.57,2024-08-25,2027-04-29,Medium,8.81,BrokerC,Pending
100069,Fay,Real Estate,74253.2,2023-07-11,2026-07-14,Low,12.35,BrokerA,Pending
100070,Fay,Bonds,86860.64,2023-06-20,2026-03-18,High,8.37,BrokerA,Pending
100071,Fay,Stocks,31036.8,2024-12-18,2029-03-27,Medium,2.34,BrokerA,Closed
100072,Bob,Mutual Funds,81671.74,2024-10-30,2027-11-16,Low,6.68,BrokerC,Pending
100073,David,Stocks,23547.86,2022-01-10,2025-08-22,Medium,7.5,BrokerC,Active
100074,Fay,Stocks,37807.49,2023-03-28,2026-12-08,High,3.41,BrokerC,Pending
100075,Eve,Real Estate,36882.99,2021-01-28,2027-05-31,Low,2.88,BrokerD,Pending
100076,Bob,Bonds,97959.92,2023-12-13,2025-08-16,Low,8.73,BrokerC,Active
100077,Bob,Mutual Funds,86371.04,2020-05-22,2026-08-04,Low,2.65,BrokerD,Active
100078,David,Crypto,71611.14,2020-04-03,2028-10-20,High,5.59,BrokerD,Closed
100079,Bob,Crypto,74070.39,2023-09-16,2028-10-21,High,11.55,BrokerD,Closed
100080,Bob,Stocks,58396.92,2021-04-11,2028-04-29,High,14.52,BrokerB,Closed
100081,Fay,Real Estate,94973.61,2024-05-02,2027-09-24,Low,11.19,BrokerB,Closed
100082,David,Real Estate,52144.58,2021-08-15,2027-12-16,High,14.9,BrokerB,Active
100083,Fay,Crypto,41149.18,2020-06-12,2028-09-28,Medium,10.93,BrokerD,Pending
100084,Fay,Mutual Funds,20488.36,2024-10-17,2026-09-24,High,5.47,BrokerD,Pending
100085,David,Bonds,79689.54,2021-04-21,2025-04-04,Low,10.57,BrokerA,Pending
100086,Alice,Mutual Funds,74772.17,2024-11-09,2026-03-28,Medium,10.98,BrokerD,Closed
100087,Fay,Bonds,41513.73,2020-07-25,2027-03-21,High,6.52,BrokerB,Active
100088,Eve,Crypto,7393.37,2022-02-17,2028-05-12,Medium,1.74,BrokerD,Active
100089,Eve,Bonds,84704.75,2021-07-23,2025-04-23,Medium,10.99,BrokerD,Active
100090,Bob,Real Estate,6084.71,2022-07-17,2025-01-16,Low,1.79,BrokerA,Pending
100091,Eve,Stocks,71851.48,2023-07-25,2026-02-23,Medium,10.02,BrokerD,Closed
100092,Bob,Stocks,97174.43,2024-09-04,2026-09-10,Medium,3.71,BrokerC,Active
100093,Alice,Crypto,46577.83,2022-01-17,2026-03-09,Low,9.14,BrokerA,Closed
100094,David,Real Estate,27322.47,2020-11-29,2029-04-21,Low,8.3,BrokerD,Active
100095,David,Mutual Funds,71962.75,2022-01-28,2025-10-09,Low,1.68,BrokerD,Closed
100096,David,Real Estate,82627.17,2021-12-28,2029-04-15,Medium,6.4,BrokerA,Active
100097,Eve,Stocks,56910.88,2021-03-05,2026-06-08,Medium,9.61,BrokerD,Closed
100098,Alice,Stocks,96868.35,2023-10-04,2026-08-16,Medium,12.96,BrokerB,Active
100099,Eve,Real Estate,9908.53,2021-06-30,2026-11-03,Low,13.5,BrokerC,Active
100100,Eve,Real Estate,52955.58,2023-12-08,2025-09-03,High,8.03,BrokerC,Closed
100101,Alice,Stocks,73253.12,2023-10-31,2025-01-16,Medium,11.33,BrokerB,Closed
100102,Alice,Mutual Funds,86950.84,2023-08-20,2027-10-16,High,5.77,BrokerD,Pending
100103,Alice,Crypto,22029.28,2020-05-26,2029-03-10,Low,6.12,BrokerD,Closed
100104,Alice,Crypto,81000.33,2023-06-01,2027-06-01,Medium,4.13,BrokerC,Active
100105,David,Real Estate,57507.17,2023-07-24,2025-12-26,High,9.09,BrokerD,Active
100106,Charlie,Crypto,42672.6,2020-12-16,2025-09-22,Medium,5.75,BrokerC,Closed
100107,Charlie,Stocks,17512.93,2022-12-29,2027-02-18,Medium,2.64,BrokerC,Pending
100108,Alice,Stocks,87203.1,2024-02-02,2027-12-27,Medium,10.75,BrokerB,Closed
100109,Charlie,Real Estate,19940.95,2021-05-16,2028-12-12,High,11.05,BrokerC,Active
100110,Charlie,Real Estate,34429.85,2020-11-30,2026-04-17,Low,6.36,BrokerD,Active
100111,Alice,Real Estate,32554.33,2022-08-04,2027-10-22,Medium,2.54,BrokerD,Pending
100112,Charlie,Mutual Funds,87784.33,2022-02-16,2028-02-19,Low,7.26,BrokerA,Closed
100113,Eve,Crypto,68906.78,2021-07-06,2029-09-03,Low,7.47,BrokerD,Active
100114,Bob,Real Estate,80684.73,2023-08-03,2028-09-30,High,10.53,BrokerA,Active
100115,Bob,Bonds,28794.45,2023-11-10,2029-07-10,High,5.76,BrokerC,Active
100116,Alice,Bonds,64363.04,2023-02-14,2026-12-27,Low,10.72,BrokerD,Closed
100117,David,Stocks,59315.87,2021-03-25,2025-05-28,Medium,13.27,BrokerB,Closed
100118,Alice,Crypto,84118.89,2023-11-03,2027-03-25,High,4.71,BrokerB,Pending
100119,David,Real Estate,91078.27,2021-10-26,2029-10-31,Medium,14.72,BrokerB,Active
100120,Bob,Bonds,6154.89,2024-09-22,2029-02-28,Medium,6.72,BrokerC,Active
100121,Alice,Crypto,69031.89,2024-04-22,2025-03-28,Medium,5.11,BrokerC,Pending
100122,Fay,Stocks,9924.4,2024-05-08,2027-06-13,Low,7.19,BrokerA,Active
100123,Eve,Mutual Funds,57141.57,2020-04-24,2025-02-08,Medium,2.77,BrokerB,Pending
100124,Charlie,Crypto,32325.11,2021-04-14,2027-07-31,Low,3.2,BrokerA,Pending
100125,David,Crypto,34143.78,2024-08-10,2025-06-09,Low,7.09,BrokerA,Active
100126,Fay,Mutual Funds,38531.06,2020-03-06,2029-11-01,Medium,11.79,BrokerD,Closed
100127,Charlie,Crypto,64022.78,2024-07-06,2026-10-04,Medium,13.65,BrokerD,Closed
100128,Charlie,Stocks,36734.75,2021-10-08,2028-03-25,Medium,10.48,BrokerB,Closed
100129,Alice,Stocks,74606.41,2022-04-01,2027-05-30,Medium,2.92,BrokerC,Closed
100130,Charlie,Mutual Funds,43430.1,2021-07-02,2028-03-20,Low,10.57,BrokerD,Active
100131,Eve,Real Estate,11493.55,2020-05-15,2027-04-09,Medium,10.08,BrokerC,Pending
100132,Fay,Bonds,79457.19,2021-03-08,2028-12-24,Medium,12.38,BrokerA,Pending
100133,Charlie,Real Estate,32147.04,2023-03-07,2028-08-04,Low,12.64,BrokerA,Active
100134,Alice,Crypto,46112.85,2024-11-29,2027-05-06,High,13.22,BrokerA,Closed
100135,Eve,Bonds,70117.17,2024-01-10,2026-08-16,High,7.09,BrokerA,Pending
100136,Bob,Mutual Funds,36583.33,2021-10-06,2025-08-24,Low,10.92,BrokerB,Active
100137,Fay,Mutual Funds,10375.64,2021-03-11,2027-04-10,High,5.12,BrokerA,Active
100138,Charlie,Bonds,40522.5,2023-09-04,2025-02-12,Low,14.99,BrokerD,Closed
100139,Alice,Stocks,94722.62,2022-10-19,2026-10-28,Medium,3.87,BrokerA,Active
100140,Bob,Bonds,65964.77,2022-03-21,2025-12-18,Medium,1.64,BrokerC,Pending
100141,Bob,Crypto,68790.52,2024-12-16,2029-06-30,High,3.51,BrokerD,Pending
100142,David,Stocks,65066.8,2023-08-09,2028-06-19,Medium,11.97,BrokerC,Active
100143,Eve,Mutual Funds,23904.25,2022-07-28,2027-08-01,High,7.53,BrokerC,Pending
100144,Charlie,Bonds,44741.72,2020-10-19,2029-08-31,High,7.54,BrokerB,Active
100145,Alice,Real Estate,76339.28,2021-06-26,2028-11-13,Medium,14.39,BrokerB,Pending
100146,David,Real Estate,14630.43,2020-10-12,2027-01-12,Medium,13.92,BrokerC,Closed
100147,Eve,Crypto,31396.01,2021-05-20,2025-06-30,High,5.7,BrokerC,Pending
100148,David,Real Estate,31250.32,2024-03-05,2027-06-14,Medium,4.32,BrokerA,Closed
100149,Fay,Bonds,46041.8,2023-02-23,2029-09-26,Low,12.95,BrokerD,Closed
100150,Eve,Bonds,98135.03,2023-01-08,2025-08-05,Medium,13.73,BrokerA,Active
100151,Eve,Real Estate,11412.74,2021-06-22,2026-05-14,Medium,8.81,BrokerB,Closed
100152,Charlie,Bonds,54276.59,2024-03-09,2027-06-12,Low,10.0,BrokerB,Pending
100153,Eve,Crypto,22039.64,2023-04-12,2028-04-21,Medium,4.97,BrokerA,Pending
100154,David,Stocks,97214.27,2022-05-27,2027-04-01,Medium,12.31,BrokerD,Closed
100155,Eve,Crypto,15763.83,2023-04-10,2027-12-10,High,10.03,BrokerC,Active
100156,Charlie,Crypto,43342.1,2022-03-28,2025-06-11,Medium,8.3,BrokerA,Closed
100157,Charlie,Bonds,75099.07,2022-01-11,2027-03-22,Medium,2.31,BrokerB,Pending
100158,Fay,Stocks,71932.67,2021-03-25,2029-11-18,Low,13.87,BrokerD,Pending
100159,David,Bonds,45159.22,2020-10-10,2026-09-28,High,9.81,BrokerB,Closed
100160,Bob,Mutual Funds,37919.8,2022-11-09,2029-03-08,High,4.1,BrokerD,Closed
100161,Bob,Bonds,42773.18,2022-10-07,2026-11-27,High,9.69,BrokerD,Closed
100162,Eve,Bonds,30106.25,2020-07-05,2026-03-30,Medium,10.65,BrokerD,Pending
100163,Fay,Bonds,24506.63,2024-03-27,2026-11-14,High,8.6,BrokerA,Pending
100164,Alice,Stocks,50888.77,2020-04-06,2029-05-15,Low,11.19,BrokerA,Pending
100165,Eve,Bonds,30510.71,2024-10-29,2025-12-11,High,9.35,BrokerA,Active
100166,Fay,Stocks,32308.86,2020-08-12,2025-06-06,Low,14.29,BrokerD,Pending
100167,David,Real Estate,67391.83,2020-11-09,2027-11-12,High,2.22,BrokerD,Pending
100168,David,Mutual Funds,97011.05,2023-07-09,2028-07-20,High,2.93,BrokerB,Active
100169,David,Stocks,62345.53,2020-11-23,2025-08-22,Low,3.84,BrokerC,Active
100170,David,Real Estate,12313.05,2024-06-10,2027-12-23,High,10.82,BrokerA,Active
100171,David,Stocks,12180.44,2023-10-25,2027-11-11,High,10.22,BrokerD,Active
100172,Fay,Stocks,95385.21,2022-05-14,2026-02-02,High,13.54,BrokerB,Active
100173,Fay,Mutual Funds,33242.63,2023-05-06,2029-05-09,Medium,11.39,BrokerB,Active
100174,Charlie,Crypto,13746.36,2020-05-10,2026-12-17,Low,8.36,BrokerB,Closed
100175,Bob,Crypto,61909.24,2022-02-27,2026-12-21,High,14.89,BrokerA,Closed
100176,David,Stocks,64246.63,2022-02-20,2029-01-29,Low,5.09,BrokerA,Closed
100177,Alice,Bonds,66607.96,2023-05-05,2029-08-05,Low,12.75,BrokerC,Closed
100178,Fay,Real Estate,30403.19,2022-08-16,2028-08-14,Low,7.26,BrokerB,Pending
100179,Alice,Bonds,6435.52,2022-12-19,2029-07-28,High,10.26,BrokerA,Active
100180,Alice,Bonds,96676.46,2021-05-29,2025-10-30,High,11.32,BrokerB,Pending
100181,Alice,Stocks,28834.84,2023-02-07,2026-04-29,Low,10.06,BrokerD,Active
100182,Charlie,Stocks,69222.5,2024-10-28,2025-07-30,Medium,3.4,BrokerB,Active
100183,Fay,Stocks,72129.84,2020-01-24,2025-10-27,Low,7.48,BrokerC,Pending
100184,Alice,Stocks,62950.7,2023-10-25,2026-06-09,Medium,9.08,BrokerA,Closed
100185,David,Crypto,34726.2,2024-01-16,2026-02-09,Low,12.96,BrokerD,Pending
100186,Eve,Stocks,30754.14,2020-08-22,2025-12-22,Low,7.49,BrokerA,Pending
100187,Alice,Crypto,61778.49,2023-10-28,2028-05-18,Low,13.9,BrokerD,Active
100188,Charlie,Crypto,87279.09,2024-12-17,2025-11-10,High,7.45,BrokerB,Active
100189,Fay,Stocks,94939.7,2023-01-04,2029-04-06,Medium,8.91,BrokerB,Active
100190,Charlie,Mutual Funds,15061.05,2024-03-17,2029-04-04,Medium,12.25,BrokerC,Closed
100191,Alice,Real Estate,19708.72,2021-06-30,2028-09-04,Low,9.37,BrokerC,Pending
100192,Fay,Bonds,94749.94,2024-04-23,2025-06-04,High,14.46,BrokerD,Pending
100193,Eve,Crypto,74970.85,2023-08-05,2025-12-29,High,10.41,BrokerC,Closed
100194,Alice,Real Estate,88884.41,2021-11-27,2029-05-02,Medium,8.56,BrokerC,Pending
100195,Charlie,Mutual Funds,24250.1,2020-08-16,2028-07-10,High,1.82,BrokerC,Pending
100196,Bob,Bonds,60820.66,2021-08-24,2027-10-09,Medium,7.09,BrokerC,Active
100197,David,Bonds,71608.26,2022-06-09,2027-08-09,Medium,5.54,BrokerB,Closed
100198,Charlie,Crypto,69610.63,2020-11-19,2029-03-26,Medium,11.6,BrokerC,Active
100199,Fay,Stocks,43774.41,2022-07-18,2028-02-29,High,4.31,BrokerB,Closed
100200,Alice,Mutual Funds,6462.51,2020-01-07,2029-04-06,Medium,4.27,BrokerB,Active
100201,David,Crypto,60377.98,2024-01-18,2028-04-01,Medium,4.06,BrokerA,Pending
100202,Alice,Mutual Funds,29044.65,2024-11-28,2027-07-09,Low,3.2,BrokerB,Closed
100203,Fay,Stocks,47774.15,2024-01-13,2028-10-26,Medium,5.7,BrokerB,Closed
100204,Alice,Stocks,95970.2,2021-06-23,2029-12-12,Medium,13.46,BrokerC,Active
100205,Bob,Crypto,42908.36,2022-10-22,2028-03-02,Low,11.96,BrokerB,Closed
100206,David,Stocks,84781.15,2024-04-09,2028-08-09,Low,11.43,BrokerD,Pending
100207,David,Real Estate,22911.36,2020-12-31,2028-07-25,High,12.26,BrokerC,Pending
100208,Fay,Bonds,68883.75,2022-11-05,2028-07-03,Medium,5.14,BrokerC,Pending
100209,Bob,Crypto,97815.66,2020-08-05,2026-10-24,High,13.48,BrokerC,Active
100210,Charlie,Mutual Funds,14679.84,2024-11-17,2029-11-05,High,3.35,BrokerA,Closed
100211,Alice,Real Estate,5790.39,2023-07-04,2028-07-08,Low,6.04,BrokerC,Active
100212,Eve,Crypto,46190.37,2021-09-03,2026-10-10,High,9.42,BrokerB,Pending
100213,Alice,Stocks,13799.42,2024-09-19,2025-11-06,Medium,2.89,BrokerD,Closed
100214,Alice,Stocks,76096.51,2023-08-01,2027-06-20,Low,11.36,BrokerC,Pending
100215,Charlie,Stocks,91882.12,2022-11-05,2025-05-20,Medium,6.73,BrokerC,Closed
100216,Alice,Stocks,46231.99,2023-06-01,2027-08-19,Medium,12.09,BrokerD,Closed
100217,Bob,Mutual Funds,29577.61,2021-02-11,2027-06-25,Low,8.15,BrokerC,Active
100218,Bob,Real Estate,46268.32,2020-11-09,2028-07-17,Medium,3.94,BrokerA,Closed
100219,David,Bonds,73727.54,2022-02-04,2026-09-13,Low,11.42,BrokerB,Pending
100220,Fay,Mutual Funds,5860.15,2024-04-10,2029-06-19,Medium,4.9,BrokerD,Closed
100221,Eve,Mutual Funds,60998.13,2020-11-26,2026-07-17,Low,8.13,BrokerD,Pending
100222,Alice,Bonds,63262.71,2023-01-09,2028-04-26,High,2.52,BrokerA,Active
100223,Alice,Bonds,65580.38,2024-05-13,2025-04-26,Medium,9.84,BrokerB,Pending
100224,Charlie,Stocks,27992.1,2022-12-22,2026-12-22,Low,10.49,BrokerA,Closed
100225,Fay,Mutual Funds,72835.01,2020-01-02,2027-11-06,Medium,6.61,BrokerB,Pending
100226,Bob,Crypto,13682.19,2023-05-11,2025-06-01,Medium,14.38,BrokerA,Pending
100227,Eve,Bonds,23930.68,2021-10-25,2026-09-28,Medium,13.3,BrokerC,Closed
100228,David,Bonds,88359.65,2022-09-27,2027-08-04,Low,11.06,BrokerA,Pending
100229,Bob,Real Estate,75178.7,2020-02-09,2027-07-15,High,11.13,BrokerD,Closed
100230,Fay,Crypto,6305.83,2020-08-17,2025-03-19,High,4.91,BrokerD,Active
100231,David,Crypto,28595.74,2022-01-13,2025-04-27,High,10.37,BrokerD,Pending
100232,Charlie,Bonds,25368.62,2024-12-04,2027-01-26,Low,4.18,BrokerA,Active
100233,Charlie,Stocks,30726.6,2024-08-30,2029-08-31,High,3.44,BrokerD,Pending
100234,Alice,Real Estate,28518.18,2024-07-10,2026-08-11,Low,14.99,BrokerD,Pending
100235,Fay,Crypto,10940.0,2021-09-21,2025-06-07,Medium,9.9,BrokerC,Active
100236,Eve,Bonds,48599.35,2021-05-05,2028-08-13,Medium,7.32,BrokerC,Pending
100237,David,Crypto,74609.68,2020-04-28,2029-11-05,High,5.39,BrokerB,Pending
100238,Bob,Real Estate,62639.51,2021-05-08,2029-10-18,Low,9.65,BrokerB,Active
100239,Fay,Real Estate,68922.81,2024-12-03,2025-07-04,Medium,2.17,BrokerB,Pending
100240,Fay,Mutual Funds,12709.17,2023-03-07,2028-06-13,Low,2.78,BrokerA,Closed
100241,Charlie,Bonds,95391.62,2020-06-10,2028-05-01,Low,1.94,BrokerB,Pending
100242,Alice,Real Estate,84656.72,2020-06-24,2027-11-05,Medium,8.24,BrokerA,Pending
100243,Alice,Mutual Funds,81483.58,2024-02-07,2027-02-27,Low,9.61,BrokerA,Pending
100244,David,Mutual Funds,83183.46,2022-09-22,2027-08-06,Medium,2.34,BrokerB,Active
100245,Charlie,Crypto,93607.5,2024-07-29,2028-04-03,Medium,11.24,BrokerB,Closed
100246,Fay,Crypto,56704.13,2020-05-21,2028-02-10,Medium,4.61,BrokerA,Closed
100247,Eve,Mutual Funds,24026.79,2024-04-06,2029-06-10,Low,10.75,BrokerC,Pending
100248,Charlie,Crypto,63594.44,2022-12-26,2029-02-22,Medium,14.76,BrokerD,Active
100249,David,Real Estate,75573.74,2024-04-17,2025-03-26,Low,10.83,BrokerD,Active
100250,David,Stocks,75102.15,2020-09-14,2027-07-11,Medium,13.42,BrokerD,Closed
100251,Charlie,Real Estate,54537.66,2020-09-19,2029-07-17,Medium,14.3,BrokerC,Active
100252,David,Mutual Funds,11503.58,2023-09-13,2028-03-16,High,8.07,BrokerA,Pending
100253,Charlie,Mutual Funds,40255.73,2022-08-31,2028-08-27,High,10.98,BrokerB,Pending
100254,Bob,Real Estate,92472.83,2023-01-30,2026-01-21,High,13.0,BrokerA,Active
100255,Charlie,Crypto,60522.65,2020-12-04,2026-10-21,Low,6.31,BrokerA,Pending
100256,Charlie,Crypto,56141.53,2021-06-26,2028-05-24,Low,5.03,BrokerB,Closed
100257,David,Mutual Funds,30541.08,2022-12-16,2027-09-02,Medium,14.28,BrokerC,Pending
100258,David,Bonds,40002.65,2024-11-21,2027-10-24,Medium,11.31,BrokerD,Active
100259,Alice,Crypto,90057.88,2023-05-27,2025-11-05,Medium,4.47,BrokerD,Closed
100260,Alice,Real Estate,68313.99,2022-05-16,2025-05-07,Medium,7.56,BrokerA,Pending
100261,Bob,Crypto,79801.77,2021-03-09,2027-07-12,Low,12.25,BrokerC,Closed
100262,Alice,Real Estate,48162.82,2023-01-09,2025-07-31,Medium,8.89,BrokerD,Active
100263,Charlie,Mutual Funds,64873.49,2024-03-26,2029-07-19,Medium,10.27,BrokerC,Pending
100264,David,Crypto,28596.44,2024-02-03,2029-09-11,High,11.68,BrokerB,Pending
100265,Alice,Real Estate,72018.78,2023-11-13,2026-12-05,Medium,9.9,BrokerA,Closed
100266,Alice,Mutual Funds,45622.13,2021-02-15,2029-01-02,Medium,8.79,BrokerA,Pending
100267,Bob,Bonds,47041.82,2023-12-31,2025-06-22,Medium,11.62,BrokerC,Pending
100268,Fay,Real Estate,66685.62,2021-09-30,2027-10-31,Low,11.32,BrokerD,Pending
100269,Bob,Bonds,93946.66,2022-03-28,2028-08-16,High,10.0,BrokerC,Pending
100270,Charlie,Bonds,11080.6,2023-10-07,2025-12-20,Medium,6.36,BrokerB,Active
100271,David,Stocks,83350.61,2023-08-23,2025-03-22,Medium,6.98,BrokerD,Pending
100272,Bob,Crypto,32776.4,2022-02-03,2026-05-23,High,14.6,BrokerD,Closed
100273,Alice,Real Estate,47172.35,2022-06-16,2028-12-20,Medium,3.02,BrokerC,Active
100274,David,Bonds,7081.77,2022-11-25,2027-06-16,Low,5.12,BrokerB,Closed
100275,David,Stocks,33599.38,2022-07-13,2027-06-19,Medium,8.15,BrokerD,Closed
100276,Alice,Mutual Funds,52749.97,2020-09-04,2027-12-10,Low,12.8,BrokerA,Closed
100277,Bob,Real Estate,10336.73,2021-05-22,2027-12-07,Low,3.71,BrokerB,Active
100278,Alice,Bonds,51654.09,2021-04-05,2028-06-02,Medium,5.24,BrokerD,Active
100279,Fay,Crypto,93075.51,2020-05-11,2025-11-22,High,2.39,BrokerC,Active
100280,David,Stocks,15012.36,2021-11-23,2027-01-16,Low,11.03,BrokerD,Pending
100281,Eve,Bonds,77621.87,2020-02-13,2027-02-03,High,4.72,BrokerA,Closed
100282,Eve,Crypto,43918.75,2023-04-19,2026-08-03,Medium,6.75,BrokerB,Active
100283,Charlie,Bonds,67241.5,2023-02-08,2027-03-05,Low,7.49,BrokerD,Closed
100284,Alice,Real Estate,29722.48,2021-04-16,2027-04-18,Medium,13.53,BrokerA,Active
100285,Alice,Real Estate,20151.76,2023-04-20,2029-05-06,High,7.05,BrokerD,Active
100286,Charlie,Real Estate,20243.95,2021-03-27,2026-11-24,Medium,3.46,BrokerD,Active
