customer_id,customer_name,gender,age,city,state,customer_segment,onboarding_date,kyc_status
C0126,Vikram Das,Male,27,Lucknow,Uttar Pradesh,Retail,2024-12-08,Verified
C0127,Priya Joshi,Female,25,Bengaluru,Karnataka,Retail,2021-09-24,Verified
C0128,Pooja Gupta,Female,64,Lucknow,Uttar Pradesh,Premium,2023-09-07,Verified
C0129,Aisha Singh,Female,60,Indore,Madhya Pradesh,Premium,2020-05-27,Verified
C0130,Arjun Singh,Male,48,Kochi,Kerala,Corporate,2021-01-05,Rejected
C0131,Amit Reddy,Male,41,Bengaluru,Karnataka,Premium,2020-07-07,Pending
C0132,Rohan Gupta,Male,57,Pune,Maharashtra,Retail,2024-08-14,Verified
C0133,Vikram Nair,Male,52,Delhi,Delhi,Retail,2022-09-13,Verified
C0134,Arjun Reddy,Male,50,Kochi,Kerala,Retail,2020-02-08,Verified
C0135,Ritika Nair,Female,61,Delhi,Delhi,Retail,2023-05-10,Verified
C0136,Pooja Reddy,Female,27,Bhopal,Madhya Pradesh,Retail,2025-06-02,Rejected
C0137,Sandeep Mehta,Male,22,Pune,Maharashtra,Retail,2023-04-24,Rejected
C0138,Pooja Sharma,Female,59,Lucknow,Uttar Pradesh,Premium,2020-07-19,Verified
C0139,Pooja Iyer,Female,60,Lucknow,Uttar Pradesh,Premium,2022-02-17,Verified
C0140,Anjali Singh,Female,49,Delhi,Delhi,Corporate,2023-06-19,Verified
C0141,Saurabh Gupta,Male,68,Indore,Madhya Pradesh,Retail,2023-08-31,Pending
C0142,Anjali Iyer,Female,54,Bengaluru,Karnataka,Premium,2024-02-07,Verified
C0143,Anjali Khan,Female,68,Patna,Bihar,Premium,2023-04-23,Verified
C0144,Neha Reddy,Female,56,Delhi,Delhi,Retail,2024-06-15,Pending
C0145,Neha Patel,Female,64,Mumbai,Maharashtra,Retail,2024-02-18,Verified
C0146,Shreya Patel,Female,51,Bhopal,Madhya Pradesh,Retail,2022-08-15,Verified
C0147,Saurabh Das,Male,61,Pune,Maharashtra,Corporate,2020-09-15,Verified
C0148,Pooja Singh,Female,40,Ahmedabad,Gujarat,Retail,2020-06-01,Verified
C0149,Neha Verma,Female,44,Chennai,Tamil Nadu,Premium,2025-02-01,Verified
C0150,Shreya Joshi,Female,52,Indore,Madhya Pradesh,Retail,2021-02-09,Verified
C0151,Pooja Sharma,Female,44,Indore,Madhya Pradesh,Retail,2022-08-25,Verified
C0152,Karan Das,Male,38,Patna,Bihar,Corporate,2024-06-18,Verified
C0153,Amit Reddy,Male,24,Delhi,Delhi,Premium,2020-03-28,Verified
C0154,Sneha Nair,Female,58,Nagpur,Maharashtra,Retail,2022-04-28,Verified
C0155,Arjun Gupta,Male,38,Nagpur,Maharashtra,Retail,2020-01-12,Pending
C0156,Vikram Das,Male,29,Hyderabad,Telangana,Premium,2020-04-15,Verified
C0157,Karan Iyer,Male,29,Lucknow,Uttar Pradesh,Retail,2020-08-02,Verified
C0158,Ritika Verma,Female,53,Indore,Madhya Pradesh,Retail,2024-01-22,Verified
C0159,Nikhil Das,Male,40,Chennai,Tamil Nadu,Corporate,2025-11-05,Verified
C0160,Priya Sharma,Female,52,Kolkata,West Bengal,Premium,2021-03-18,Verified
C0161,Neha Verma,Female,60,Pune,Maharashtra,Retail,2023-01-31,Verified
C0162,Meera Mehta,Female,27,Jaipur,Rajasthan,Retail,2024-10-28,Verified
C0163,Manish Joshi,Male,47,Bhopal,Madhya Pradesh,Retail,2022-07-24,Verified
C0164,Kavya Patel,Female,63,Ahmedabad,Gujarat,Premium,2023-07-04,Verified
C0165,Aisha Nair,Female,26,Kochi,Kerala,Corporate,2020-12-15,Verified
C0166,Neha Joshi,Female,58,Indore,Madhya Pradesh,Retail,2020-09-02,Verified
C0167,Neha Patel,Female,67,Pune,Maharashtra,Premium,2024-09-28,Pending
C0168,Rohan Mehta,Male,30,Hyderabad,Telangana,Retail,2022-05-21,Verified
C0169,Sneha Verma,Female,57,Pune,Maharashtra,Premium,2023-02-15,Verified
C0170,Sandeep Das,Male,59,Nagpur,Maharashtra,Premium,2020-04-17,Verified
C0171,Priya Nair,Female,43,Hyderabad,Telangana,Premium,2023-10-23,Verified
C0172,Vikram Nair,Male,26,Lucknow,Uttar Pradesh,Premium,2020-05-05,Verified
C0173,Sandeep Patel,Male,70,Kolkata,West Bengal,Retail,2023-08-21,Verified
C0174,Rahul Nair,Male,38,Bengaluru,Karnataka,Premium,2020-11-30,Verified
C0175,Meera Reddy,Female,28,Lucknow,Uttar Pradesh,Retail,2025-09-29,Verified
C0176,Meera Verma,Female,63,Hyderabad,Telangana,Premium,2025-11-28,Verified
C0177,Priya Iyer,Female,40,Ahmedabad,Gujarat,Corporate,2022-04-17,Verified
C0178,Vikram Khan,Male,32,Hyderabad,Telangana,Retail,2024-10-29,Verified
C0179,Sandeep Das,Male,25,Indore,Madhya Pradesh,Retail,2023-12-21,Verified
C0180,Priya Patel,Female,57,Mumbai,Maharashtra,Retail,2023-07-06,Verified
C0181,Shreya Patel,Female,22,Indore,Madhya Pradesh,Retail,2024-07-17,Verified
C0182,Anjali Mehta,Female,48,Kolkata,West Bengal,Premium,2020-12-26,Pending
C0183,Arjun Patel,Male,68,Lucknow,Uttar Pradesh,Retail,2023-06-24,Verified
C0184,Sneha Gupta,Female,54,Nagpur,Maharashtra,Retail,2021-04-12,Verified
C0185,Karan Gupta,Male,36,Indore,Madhya Pradesh,Corporate,2021-08-27,Verified
C0186,Vikram Khan,Male,32,Chennai,Tamil Nadu,Retail,2020-11-04,Verified
C0187,Kavya Mehta,Female,61,Nagpur,Maharashtra,Retail,2023-08-16,Verified
C0188,Anjali Reddy,Female,58,Delhi,Delhi,Retail,2023-01-30,Verified
C0189,Karan Das,Male,44,Delhi,Delhi,Retail,2020-08-21,Verified
C0190,Neha Singh,Female,45,Bhopal,Madhya Pradesh,Corporate,2025-09-07,Verified
C0191,Shreya Das,Female,41,Nagpur,Maharashtra,Premium,2022-02-10,Verified
C0192,Ritika Nair,Female,66,Mumbai,Maharashtra,Retail,2023-11-07,Verified
C0193,Manish Singh,Male,54,Bengaluru,Karnataka,Retail,2024-12-04,Verified
C0194,Karan Gupta,Male,64,Patna,Bihar,Retail,2023-10-17,Verified
C0195,Karan Verma,Male,37,Pune,Maharashtra,Retail,2023-03-09,Verified
C0196,Karan Verma,Male,62,Lucknow,Uttar Pradesh,Premium,2023-06-24,Pending
C0197,Anjali Mehta,Female,62,Indore,Madhya Pradesh,Corporate,2024-03-22,Verified
C0198,Anjali Singh,Female,26,Indore,Madhya Pradesh,Premium,2025-11-26,Verified
C0199,Ritika Gupta,Female,42,Mumbai,Maharashtra,Retail,2022-05-27,Verified
C0200,Sneha Iyer,Female,53,Bengaluru,Karnataka,Retail,2021-02-18,Verified
C0201,Karan Mehta,Male,65,Bengaluru,Karnataka,Retail,2022-01-10,Verified
C0202,Nikhil Sharma,Male,60,Ahmedabad,Gujarat,Retail,2024-12-24,Verified
C0203,Kavya Iyer,Female,33,Jaipur,Rajasthan,Retail,2025-04-05,Pending
C0204,Shreya Reddy,Female,54,Kolkata,West Bengal,Premium,2025-08-21,Verified
C0205,Anjali Iyer,Female,62,Nagpur,Maharashtra,Retail,2020-08-01,Verified
C0206,Aisha Das,Female,39,Patna,Bihar,Retail,2021-05-25,Verified
C0207,Vikram Khan,Male,26,Kolkata,West Bengal,Corporate,2024-11-26,Verified
C0208,Nikhil Gupta,Male,44,Patna,Bihar,Retail,2025-08-18,Verified
C0209,Sandeep Verma,Male,66,Pune,Maharashtra,Retail,2021-02-09,Verified
C0210,Anjali Nair,Female,69,Mumbai,Maharashtra,Retail,2021-07-22,Verified
C0211,Kavya Mehta,Female,30,Mumbai,Maharashtra,Corporate,2022-06-02,Verified
C0212,Neha Khan,Female,61,Chennai,Tamil Nadu,Retail,2024-09-15,Verified
C0213,Neha Verma,Female,61,Bhopal,Madhya Pradesh,Corporate,2020-03-08,Verified
C0214,Vikram Khan,Male,32,Ahmedabad,Gujarat,Retail,2024-09-02,Verified
C0215,Manish Gupta,Male,56,Delhi,Delhi,Corporate,2025-09-10,Verified
C0216,Sandeep Reddy,Male,68,Mumbai,Maharashtra,Retail,2022-11-04,Rejected
C0217,Karan Verma,Male,70,Pune,Maharashtra,Retail,2021-02-28,Verified
C0218,Anjali Sharma,Female,70,Pune,Maharashtra,Retail,2021-12-18,Verified
C0219,Kavya Singh,Female,23,Bengaluru,Karnataka,Premium,2025-02-17,Verified
C0220,Sneha Sharma,Female,53,Nagpur,Maharashtra,Retail,2023-06-24,Verified
C0221,Ritika Reddy,Female,43,Hyderabad,Telangana,Retail,2023-03-17,Verified
C0222,Karan Khan,Male,68,Delhi,Delhi,Premium,2024-06-26,Verified
C0223,Meera Gupta,Female,38,Bengaluru,Karnataka,Retail,2025-10-27,Verified
C0224,Sandeep Verma,Male,41,Ahmedabad,Gujarat,Retail,2023-04-18,Verified
C0225,Amit Gupta,Male,31,Kochi,Kerala,Retail,2024-10-11,Verified
C0226,Aisha Reddy,Female,38,Mumbai,Maharashtra,Premium,2024-11-16,Pending
C0227,Amit Singh,Male,22,Kochi,Kerala,Retail,2021-10-17,Verified
C0228,Saurabh Singh,Male,70,Nagpur,Maharashtra,Retail,2022-08-24,Verified
C0229,Aisha Patel,Female,44,Lucknow,Uttar Pradesh,Retail,2025-01-16,Verified
C0230,Kavya Verma,Female,62,Lucknow,Uttar Pradesh,Retail,2023-07-11,Verified
C0231,Sneha Verma,Female,56,Mumbai,Maharashtra,Premium,2024-05-04,Verified
C0232,Rohan Khan,Male,65,Indore,Madhya Pradesh,Retail,2023-03-15,Rejected
C0233,Sneha Verma,Female,26,Bengaluru,Karnataka,Premium,2024-12-28,Verified
C0234,Aisha Joshi,Female,31,Delhi,Delhi,Retail,2023-05-13,Verified
C0235,Karan Das,Male,36,Chennai,Tamil Nadu,Retail,2021-07-22,Verified
C0236,Priya Gupta,Female,60,Jaipur,Rajasthan,Retail,2021-06-15,Verified
C0237,Amit Khan,Male,47,Ahmedabad,Gujarat,Corporate,2025-11-23,Verified
C0238,Shreya Verma,Female,50,Bengaluru,Karnataka,Corporate,2025-01-17,Verified
C0239,Anjali Das,Female,48,Kochi,Kerala,Retail,2021-06-12,Verified
C0240,Amit Das,Male,43,Bengaluru,Karnataka,Retail,2022-07-12,Verified
C0241,Neha Khan,Female,61,Chennai,Tamil Nadu,Retail,2021-05-27,Verified
C0242,Shreya Das,Female,31,Delhi,Delhi,Retail,2021-09-23,Verified
C0243,Shreya Sharma,Female,62,Bhopal,Madhya Pradesh,Premium,2022-12-20,Verified
C0244,Saurabh Patel,Male,62,Lucknow,Uttar Pradesh,Retail,2023-04-01,Verified
C0245,Kavya Iyer,Female,25,Nagpur,Maharashtra,Premium,2025-01-31,Verified
C0246,Vikram Reddy,Male,41,Ahmedabad,Gujarat,Retail,2021-08-11,Verified
C0247,Aisha Patel,Female,41,Bengaluru,Karnataka,Premium,2021-03-10,Verified
C0248,Nikhil Verma,Male,39,Hyderabad,Telangana,Retail,2020-07-26,Verified
C0249,Shreya Patel,Female,57,Chennai,Tamil Nadu,Corporate,2023-09-03,Pending
C0250,Sneha Nair,Female,52,Kolkata,West Bengal,Corporate,2023-06-17,Verified
C0251,Amit Patel,Male,24,Jaipur,Rajasthan,Retail,2023-12-16,Verified
C0252,Rohan Reddy,Male,39,Lucknow,Uttar Pradesh,Premium,2025-04-11,Verified
C0253,Amit Patel,Male,44,Bengaluru,Karnataka,Premium,2024-07-09,Verified
C0254,Sandeep Sharma,Male,25,Lucknow,Uttar Pradesh,Retail,2023-03-28,Verified
C0255,Ritika Reddy,Female,29,Nagpur,Maharashtra,Retail,2021-05-01,Verified
C0256,Sandeep Gupta,Male,69,Nagpur,Maharashtra,Corporate,2024-02-06,Verified
C0257,Arjun Mehta,Male,29,Jaipur,Rajasthan,Retail,2020-06-08,Verified
C0258,Kavya Das,Female,41,Kolkata,West Bengal,Retail,2021-07-26,Pending
C0259,Anjali Patel,Female,53,Lucknow,Uttar Pradesh,Premium,2023-10-09,Verified
C0260,Shreya Khan,Female,47,Kolkata,West Bengal,Premium,2021-03-24,Verified
C0261,Priya Mehta,Female,67,Kolkata,West Bengal,Retail,2022-07-21,Verified
C0262,Saurabh Reddy,Male,30,Bengaluru,Karnataka,Retail,2024-04-06,Verified
C0263,Rahul Mehta,Male,47,Indore,Madhya Pradesh,Retail,2023-07-08,Verified
C0264,Sandeep Joshi,Male,68,Chennai,Tamil Nadu,Retail,2025-04-15,Verified
C0265,Vikram Das,Male,54,Chennai,Tamil Nadu,Retail,2025-05-13,Rejected
C0266,Aisha Nair,Female,64,Kolkata,West Bengal,Corporate,2023-12-22,Verified
C0267,Shreya Reddy,Female,35,Chennai,Tamil Nadu,Corporate,2023-05-07,Verified
C0268,Pooja Joshi,Female,43,Chennai,Tamil Nadu,Premium,2025-05-19,Verified
C0269,Pooja Verma,Female,43,Lucknow,Uttar Pradesh,Premium,2024-06-04,Verified
C0270,Rohan Sharma,Male,62,Hyderabad,Telangana,Corporate,2024-12-16,Verified
C0271,Kavya Iyer,Female,29,Chennai,Tamil Nadu,Premium,2023-01-17,Verified
C0272,Saurabh Joshi,Male,35,Lucknow,Uttar Pradesh,Retail,2025-12-15,Verified
C0273,Rahul Verma,Male,21,Ahmedabad,Gujarat,Retail,2021-07-17,Verified
C0274,Sandeep Singh,Male,69,Patna,Bihar,Premium,2022-03-27,Verified
C0275,Aisha Khan,Female,55,Kochi,Kerala,Retail,2022-08-09,Verified
C0276,Vikram Patel,Male,46,Patna,Bihar,Premium,2020-05-28,Pending
C0277,Anjali Joshi,Female,40,Bhopal,Madhya Pradesh,Corporate,2020-02-07,Verified
C0278,Karan Khan,Male,29,Kolkata,West Bengal,Corporate,2025-07-16,Verified
C0279,Pooja Iyer,Female,62,Nagpur,Maharashtra,Retail,2025-02-22,Verified
C0280,Anjali Sharma,Female,32,Indore,Madhya Pradesh,Retail,2022-03-02,Verified
C0281,Meera Das,Female,29,Pune,Maharashtra,Retail,2022-01-26,Verified
C0282,Aisha Iyer,Female,42,Mumbai,Maharashtra,Retail,2022-12-29,Verified
C0283,Shreya Joshi,Female,24,Lucknow,Uttar Pradesh,Retail,2022-08-25,Verified
C0284,Nikhil Khan,Male,65,Bengaluru,Karnataka,Retail,2023-06-27,Verified
C0285,Rohan Gupta,Male,30,Lucknow,Uttar Pradesh,Retail,2025-05-12,Pending
C0286,Shreya Gupta,Female,69,Ahmedabad,Gujarat,Premium,2022-06-13,Pending
C0287,Saurabh Verma,Male,57,Jaipur,Rajasthan,Retail,2020-11-15,Verified
C0288,Rahul Das,Male,31,Patna,Bihar,Retail,2021-09-05,Verified
C0289,Ritika Reddy,Female,26,Delhi,Delhi,Premium,2025-06-25,Verified
C0290,Priya Reddy,Female,56,Bengaluru,Karnataka,Retail,2020-08-24,Verified
C0291,Pooja Joshi,Female,58,Mumbai,Maharashtra,Retail,2022-06-11,Verified
C0292,Rahul Patel,Male,25,Pune,Maharashtra,Premium,2020-09-03,Verified
C0293,Priya Khan,Female,44,Ahmedabad,Gujarat,Retail,2024-09-17,Verified
C0294,Kavya Patel,Female,62,Ahmedabad,Gujarat,Retail,2021-06-28,Pending
C0295,Neha Nair,Female,21,Jaipur,Rajasthan,Retail,2022-07-01,Verified
C0296,Rohan Reddy,Male,35,Kochi,Kerala,Premium,2024-04-02,Verified
C0297,Nikhil Gupta,Male,23,Bengaluru,Karnataka,Retail,2021-04-07,Pending
C0298,Shreya Sharma,Female,49,Chennai,Tamil Nadu,Retail,2020-05-17,Verified
C0299,Arjun Joshi,Male,69,Mumbai,Maharashtra,Retail,2022-06-08,Verified
C0300,Vikram Das,Male,57,Hyderabad,Telangana,Retail,2023-07-30,Pending
C0301,Sneha Khan,Female,47,Patna,Bihar,Retail,2022-06-24,Verified
C0302,Pooja Sharma,Female,61,Jaipur,Rajasthan,Corporate,2021-12-18,Verified
C0303,Ritika Reddy,Female,54,Mumbai,Maharashtra,Corporate,2024-04-10,Pending
C0304,Meera Patel,Female,36,Bengaluru,Karnataka,Retail,2025-04-23,Verified
C0305,Rohan Joshi,Male,47,Bengaluru,Karnataka,Premium,2024-08-17,Pending
C0306,Sandeep Iyer,Male,44,Hyderabad,Telangana,Retail,2025-01-16,Verified
C0307,Manish Joshi,Male,25,Bhopal,Madhya Pradesh,Retail,2020-06-10,Verified
C0308,Saurabh Joshi,Male,40,Kochi,Kerala,Retail,2023-09-25,Verified
